Stop ,stopLowerLimit, stopUpperLimit 
1,5,30
2,11,40
3,25,50
4,35,60
5,40,70
6,45,80
7,55,90
8,65,100
9,75,110
10,85,120
11,90,130
12,100,140
13,105,150
14,110,160
15,120,170
16,130,180
17,140,190
18,150,200
19,160,210
20,170,220
